PtDifference,BA_PtsPC,BA_NumPC,BA_PercentPC,BA_InitLineChance,BT_PtsPC,BT_NumPC,BT_PercentPC,BT_CPSpinner,BT_CPRotator,BE_ParkChance,BE_ClimbChance,BE_BalanceChance,BD_SecDisabledAvg,RA_PtsPC,RA_NumPC,RA_PercentPC,RA_InitLineChance,RT_PtsPC,RT_NumPC,RT_PercentPC,RT_CPSpinner,RT_CPRotator,RE_ParkChance,RE_ClimbChance,RE_BalanceChance,RD_SecDisabledAvg
-31,0,0,0,1,1.2,4,0.333,0,0,2,0,0,1.7,0.7,1,0.333,2,0.7,6,0.262,0,0,1,1,0,0
4,1.3,1,0.333,1,1,4,0.533,0,0,1,1,0,0,1.3,1,0.111,1,1,9,0.381,0,0,3,0,0,0
-63,1.3,1,0.167,0,1.5,8,0.356,0,0,3,0,0,0,1.3,2,0.333,2,1,17,0.571,0,0,1,1,1,0
16,0,0,0,2,0.7,11,0.533,0,0,2,0,0,20,0,0,0,1,1,1,0.111,0,0,2,0,0,50
87,1.5,4,0.333,1,1.9,24,0.798,0,0,1,2,0,0,0,0,0,2,1.4,12,0.75,0,0,1,0,0,0
33,0.7,3,0.333,3,1.4,17,0.952,0,0,1,1,0,0,0,0,0,2,0.3,12,0.308,0,0,2,0,0,0
-46,0,0,0,2,0.3,4,0.204,0,0,2,0,0,25,0.7,1,0.111,2.5,0.3,11,0.262,0,0,1.5,1,1,0
-46,0,0,0,0,0.7,5,0.222,0,0,2,0,0,25,1,2,0.208,1.5,1.1,10,0.415,0,0,2.5,0.5,0,0
17,1.4,4,0.333,3,0.9,14,0.625,0,0,1,2,0,0,0.7,2,0.167,1.5,0.8,11,0.408,0,0,2.5,0,0,0
-84,1,1,0.083,2,0,0,0,0,0,2,1,1,0,0.7,2,0.167,2,1.8,23,0.84,0,0,1,1.5,1,0.8
34,1,1,0.111,2,1.4,21,0.67,0,0,2,1,1,0,1.7,3,0.417,2.5,1.1,8,0.526,0,0,1,1,1,10
-64,1,4,0.5,2,0.7,5,0.5,0,0,1,1,0,25,1.7,3,0.5,3,1.4,16,0.48,0,0,1.5,1.5,0.5,0
32,0.3,2,0.167,2,0.7,14,0.667,0,0,2,1,0,0,1.3,1,0.111,2,0.8,3,0.135,0,0,2,0,0,0.8
-32,0.4,1,0.139,2,0.7,11,0.603,0,0,2,0,0,0,0,0,0,1.3,1,6,0.506,0,0,1,1,0,2.2
20,0.4,2,0.222,2,0.6,4,0.407,0,0,2,1,0,15,1.3,1,0.222,1.7,0.3,1,0.056,0,0,1.7,0.3,0.3,16.7
-51,0,0,0,0,0.7,8,0.395,0,0,2,0,0,17.8,1.8,2,0.296,2.3,1.2,15,0.46,0,0,1.3,1,0.3,16.7
-114,1.4,3,0.333,2,0.4,9,0.203,0,0,1,1,0,23.3,2.2,5,0.667,2.7,1.6,17,0.603,0,0,0.3,2.7,2,0
96,1.6,4,0.444,3,1.3,24,0.729,0,0,1,2,0,0,0.9,1,0.148,2,1,7,0.319,0,0,2.3,0,0,0
-32,1.3,1,0.278,3,1.3,11,0.533,0,0,3,0,0,0,1,3,0.222,2.3,1.1,10,0.528,0,0,2,0.7,0.7,0.6
-68,0.3,1,0.167,1,0.3,7,0.297,0,0,1,1,0,20.8,2.2,5,0.556,1.8,1.1,10,0.336,0,0,0.8,1.3,1,0
-46,1.5,4,0.368,2,1.2,16,0.54,0,0,1,1,1,6.3,2.5,4,0.494,2.8,1.5,24,0.643,0,0,0.5,2.5,1.3,0
-104,1,1,0.208,2,0.9,5,0.294,0,0,2,1,0,12.5,1.2,3,0.25,2,1.5,15,0.734,1,0,0.5,1.8,0.8,0.4
74,1.3,3,0.417,2,1,10,0.395,0,0,1,1,0,5,0,0,0,1,0.3,4,0.149,0,0,2.3,0,0,11.7
8,1.7,2,0.278,3,1.2,4,0.245,0,0,3,0,0,0,1.1,2,0.194,1.8,1.1,14,0.512,0,0,2.3,0,0,19.6
12,0.2,1,0.083,2,0.5,11,0.429,0,0,2,1,0,0,0.2,0,0.042,2.3,0.7,11,0.634,0,0,1.5,0.8,0.5,0
-52,0.2,0,0.083,2,0.8,8,0.433,0,0,2,1,0,12.5,1.7,4,0.472,2.3,1.3,12,0.6,0,0,0.8,1.8,0.8,0
43,0.5,2,0.183,2,0.9,21,0.733,1,0,0,2,1,0,0.4,1,0.133,2.6,1.2,7,0.331,0,0,2.4,0,0,4
11,1.3,2,0.184,2,0.7,4,0.326,0,0,1,1,0,10,0,0,0,0.4,0.9,3,0.259,0,0,1.2,0.8,0.2,5
-19,1.6,3,0.34,2,1.4,11,0.44,0,0,2,1,1,0,0.4,2,0.2,2,0.7,12,0.66,0,0,1,1.4,0,0
2,2.5,6,0.556,2,1.6,15,0.488,0,0,1,1,1,17,1.1,2,0.267,1.6,1,12,0.544,0,0,1.2,0.4,0.2,25.7
7,1.5,3,0.4,2,1.1,12,0.501,0,0,1,1,1,9,1.4,3,0.289,2,1,12,0.435,0,0,1,1.4,0.2,0
-33,1.5,3,0.359,2,1,10,0.411,0,0,2,1,0,0,0.8,1,0.133,2.4,1,10,0.444,0,0,1.6,0.8,0.6,0
-101,1.3,2,0.193,1,0.8,3,0.185,0,0,1,1,0,4.5,1.1,3,0.267,2.5,0.8,12,0.292,0,0,1.1,1.3,0.8,8.3
-30,1.2,3,0.306,2,1,10,0.489,0,0,1,0,0,7.5,1.6,2,0.361,2.5,1.1,18,0.56,0,0,1.7,1,0.5,0
8,1.5,3,0.389,3,1.1,14,0.408,0,0,1,1,1,0,0.3,1,0.153,1.5,0.6,8,0.505,0,0,0.8,2,0.7,0
162,1.9,5,0.426,3,1.8,24,0.65,1,0,1,2,2,0.3,0.4,1,0.093,2,1.3,9,0.554,0,0,2,0.5,0.2,13.1
-75,0.7,2,0.144,1,1.4,11,0.484,0,0,1,1,1,8.3,1.5,3,0.333,2.5,1.4,21,0.808,0,0,1.7,1,0.7,0
-31,0.3,1,0.167,2,0.4,4,0.398,1,0,0,1,0,13.9,0.7,2,0.259,1.5,0.5,5,0.228,0,0,1.3,0.5,0.3,0.3
24,2,4,0.37,2,1.3,15,0.523,0,0,2,1,0,0,0.7,1,0.111,2.5,0.8,4,0.214,0,0,1.8,0,0,3.3
-93,0.1,0,0.048,3,0.9,17,0.687,0,0,2,0,0,11.2,2.4,4,0.437,1.6,1.4,9,0.455,0,0,1.1,1.3,0.6,0
-51,0.1,0,0.024,2,0.9,7,0.372,0,0,1,0,0,3.6,1,3,0.46,2.4,0.7,12,0.55,0,0,0.4,1.1,0.4,11.9
10,1.3,3,0.302,3,1.4,15,0.516,0,0,1,1,1,10,0.1,0,0.048,2.3,0.6,4,0.336,1,0,1,1,0.1,7.1
29,2,4,0.429,3,1.2,9,0.328,0,0,1,1,1,0,0.5,1,0.131,1.6,1.2,10,0.472,0,0,1.7,0.4,0.4,0.2
-91,2.2,5,0.451,2,1.3,14,0.454,0,0,1,1,0,0,2.9,5,0.524,2.3,1.9,17,0.54,1,0,1.4,1.3,0.6,0.2
-2,0.3,0,0.095,2,0.8,8,0.394,0,0,1,1,0,9.5,0,0,0,1.9,0.3,2,0.25,0,0,1.4,0,0,6.4
-12,1.5,3,0.387,3,1.4,26,0.764,0,0,0,2,1,0,0.8,2,0.297,1.7,0.8,7,0.477,0,0,0.8,1.8,0.4,0
42,1.2,2,0.24,2,1.2,12,0.57,0,0,1,1,0,0,1.4,2,0.285,2.4,1,7,0.439,0,0,1.4,0,0,6.9
71,1.3,3,0.323,2,1.2,9,0.404,0,0,1,1,0,6.3,0,0,0,1.8,0.8,3,0.164,0,0,1.3,0.3,0.1,9.4
32,1.5,3,0.34,3,1.8,26,0.683,1,0,1,2,1,0.2,1.2,3,0.267,2.3,1.1,14,0.473,0,0,1,1.6,0.8,0
-40,0.1,0,0.042,2,0.6,6,0.284,0,0,2,0,0,8.5,0.9,2,0.171,2.1,1,11,0.459,0,0,0.9,1.3,0.6,18.1
65,2.4,4,0.476,3,1.4,10,0.52,1,0,0,2,1,0,0.8,1,0.167,2.3,0.8,8,0.448,0,0,2,0,0,0
-7,1.5,3,0.325,1,1.2,10,0.504,0,0,1,1,0,0.2,1.4,3,0.375,2.9,1,19,0.581,0,0,1,0.9,0.4,10.4
-12,0.9,2,0.259,2,0.9,17,0.612,0,0,1,1,0,0.6,2.3,4,0.497,2.6,1.4,17,0.456,0,0,1.2,1,0.4,0
-3,0.8,1,0.185,2,1,10,0.674,1,0,2,1,0,8.7,2,3,0.335,2.2,1.1,7,0.323,0,0,0.9,1.4,0.7,5
-22,0.9,2,0.176,2,0.9,14,0.366,1,0,1,1,1,3,0.1,0,0.037,1.7,1.4,8,0.429,0,0,1.1,0.8,0.3,2.2
-34,1.3,2,0.247,2,1.2,14,0.652,0,0,1,2,0,0,1.3,3,0.324,2.1,1,12,0.415,0,0,0.9,1.2,0.9,5.6
0,0.6,2,0.228,2,0.6,6,0.356,0,0,1,1,0,5.6,0.1,0,0.037,2.1,1.2,6,0.327,0,0,1.8,0,0,8.3
-74,0.6,2,0.235,2,0.7,8,0.41,0,0,2,0,0,9.4,0.3,1,0.13,2.4,0.6,13,0.498,0,0,1.1,1,0.4,7.4
-29,2.2,4,0.371,2,1.3,12,0.535,0,0,1,1,1,0,2.8,6,0.706,2.6,1.4,28,0.693,0,0,0.7,1.7,0.4,0
-29,0.7,2,0.267,2,0.7,8,0.448,0,0,1,1,0,5.5,0.2,1,0.067,2,0.4,4,0.256,0,0,1.4,0.5,0.2,12
