PtDifference,BA_PtsPC,BA_NumPC,BA_PercentPC,BA_InitLineChance,BT_PtsPC,BT_NumPC,BT_PercentPC,BT_CPSpinner,BT_CPRotator,BE_ParkChance,BE_ClimbChance,BE_BalanceChance,BD_SecDisabledAvg,RA_PtsPC,RA_NumPC,RA_PercentPC,RA_InitLineChance,RT_PtsPC,RT_NumPC,RT_PercentPC,RT_CPSpinner,RT_CPRotator,RE_ParkChance,RE_ClimbChance,RE_BalanceChance,RD_SecDisabledAvg
-31,0,0,0,1,1.2,4,0.333,0,0,2,0,0,1.7,0.7,1,0.333,2,0.7,6,0.262,0,0,1,1,0,0
4,1.3,1,0.333,1,1,4,0.533,0,0,1,1,0,0,1.3,1,0.111,1,1,9,0.381,0,0,3,0,0,0
-63,1.3,1,0.167,0,1.5,8,0.356,0,0,3,0,0,0,1.3,2,0.333,2,1,17,0.571,0,0,1,1,1,0
16,0,0,0,2,0.7,11,0.533,0,0,2,0,0,20,0,0,0,1,1,1,0.111,0,0,2,0,0,50
87,1.5,4,0.333,1,1.9,24,0.798,0,0,1,2,0,0,0,0,0,2,1.4,12,0.75,0,0,1,0,0,0
33,0.7,3,0.333,3,1.4,17,0.952,0,0,1,1,0,0,0,0,0,2,0.3,12,0.308,0,0,2,0,0,0
-46,0,0,0,1,0.3,5,0.208,0,0,2,0,0,50,0.7,1,0.111,3,0.3,11,0.262,0,0,2,1,1,0
-46,0,0,0,0,0,0,0,0,0,1,0,0,50,0.7,3,0.25,2,0.3,12,0.308,0,0,2,1,0,0
17,1.3,3,0.333,2,0.7,9,0.5,0,0,1,2,0,0,1.3,3,0.333,2,1,12,0.4,0,0,3,0,0,0
-84,2,1,0.167,1,0,0,0,0,0,1,1,1,0,1.3,4,0.333,2,1.8,22,0.88,0,0,0,2,2,1.7
34,1.3,1,0.111,2,1.8,25,0.856,0,0,2,1,0,0,2,3,0.5,3,1,5,0.481,0,0,1,1,1,0
-64,1.3,4,0.667,2,0.3,3,0.333,0,0,1,1,0,0,1.3,3,0.333,3,1.1,15,0.378,0,0,2,1,1,0
32,0.7,3,0.333,2,0.7,15,0.667,0,0,2,1,0,0,1.3,1,0.111,2,0.8,4,0.222,0,0,2,0,0,0
-32,0,0,0,2,0.7,10,0.667,0,0,1,1,1,0,0,0,0,1,0.7,3,0.333,0,0,0,2,0,6.7
20,0,0,0,2,0.3,6,0.333,0,0,1,1,0,45,1.3,1,0.167,3,0.7,1,0.083,0,0,2,0,0,0
-51,0,0,0,1,1,11,0.519,0,0,2,1,0,1.7,2,4,0.556,3,1.6,13,0.533,0,0,2,1,0,0
-114,1.3,3,0.333,2,0.7,14,0.275,0,0,0,1,0,50,3.3,11,1,3,1.6,22,0.646,0,0,0,3,3,0
96,2.7,6,0.667,3,1.2,24,0.667,0,0,0,2,0,0,1.3,3,0.333,3,1,5,0.276,0,0,3,0,0,0
-32,1.3,2,0.333,3,1.8,12,0.7,0,0,2,1,1,0,1.5,5,0.333,3,1.2,15,0.667,0,0,2,1,1,0
-68,0.7,2,0.333,2,0,0,0,0,0,1,1,1,33.3,2.7,6,0.667,1,1.3,13,0.452,0,0,0,2,1,0
-46,1.3,2,0.222,2,1.7,13,0.635,0,0,1,1,1,18.3,2.7,6,0.533,3,2,16,0.856,0,0,0,3,2,0
-104,1.3,2,0.333,1,0.7,2,0.133,0,0,1,1,1,0,1.8,4,0.333,2,1.4,28,0.833,1,0,0,2,1,0
74,1.3,3,0.333,2,1.8,17,0.708,0,0,1,2,0,0,0,0,0,2,0.3,7,0.212,0,0,3,0,0,0
8,1.3,3,0.333,3,0.8,3,0.143,0,0,3,0,0,0,1.6,3,0.333,3,1,6,0.251,0,0,2,0,0,26.7
12,0,0,0,2,0.7,15,0.633,0,0,1,0,0,0,0,0,0,2,0.3,10,0.303,0,0,2,0,0,0
-52,0.7,1,0.333,3,1.3,10,0.678,0,0,1,1,1,0,2.7,4,0.556,2,1.4,10,0.278,0,0,0,2,1,0
43,0.7,2,0.222,2,0.7,19,0.49,0,0,0,3,2,0,0.7,3,0.333,3,1.6,6,0.31,0,0,3,0,0,0
11,1.3,2,0.222,1,0.7,4,0.278,0,0,1,2,0,0,0,0,0,1,0.7,1,0.056,0,0,1,1,0,0
-19,1.6,3,0.2,3,1.9,7,0.471,0,0,2,1,0,0,0,0,0,2,1,12,1,0,0,0,2,0,0
2,2,4,0.333,2,1.9,20,0.554,0,0,1,1,0,0,1.3,3,0.333,2,1.4,18,0.736,0,0,2,0,1,0
7,1.6,3,0.333,3,1.8,15,0.736,0,0,1,1,0,0,1.3,3,0.222,2,1.3,17,0.5,0,0,1,1,0,0
-33,0.7,3,0.333,1,1,12,0.515,0,0,1,1,0,0,1.3,1,0.111,2,1,14,0.337,0,0,1,1,1,0
-101,1.5,4,0.333,1,1.3,8,0.385,0,0,1,0,0,0,1.5,4,0.333,3,0.7,18,0.273,0,0,0,2,2,0
-30,1.3,3,0.333,3,1,12,0.5,0,0,2,0,0,0,2.7,2,0.333,3,1.3,12,0.456,0,0,2,1,0,0
8,1.6,3,0.333,3,1,16,0.417,0,0,0,1,0,0,0,0,0,2,0.3,2,0.222,0,0,0,3,0,0
162,1.3,2,0.222,2,1.5,31,0.606,1,0,0,2,2,0,0,0,0,3,1,5,0.4,0,0,2,0,0,0
-75,0,0,0,1,1.7,8,0.438,0,0,0,2,1,0,2,5,0.556,3,1.3,17,0.917,0,0,0,1,2,0
-31,0.7,1,0.333,3,0.7,5,0.667,0,0,0,0,0,0,0.7,2,0.222,2,0.7,8,0.296,0,0,1,0,1,0
24,1.3,2,0.222,2,1.4,20,0.544,0,0,1,1,0,0,0,0,0,3,1.4,11,0.494,0,0,1,0,0,0
-93,0,0,0,3,1,21,0.808,0,0,2,0,0,0,2.7,4,0.417,2,1.7,4,0.361,0,0,1,1,1,0
-51,0,0,0,3,1.3,3,0.306,0,0,1,0,0,0,1.3,2,0.333,3,0.7,12,0.571,0,0,0,2,0,0
10,2,5,0.556,3,1.5,9,0.467,0,0,2,1,0,0,0.7,1,0.333,2,1.2,7,0.452,0,0,1,1,0,50
29,1.6,3,0.333,3,1.5,13,0.462,0,0,2,0,0,0,0,0,0,2,1.9,15,0.69,0,0,1,0,0,0
-91,2.7,7,0.6,3,1.4,15,0.403,0,0,2,0,0,0,3.1,5,0.667,2,1.4,17,0.444,0,0,0,2,0,0
-2,1.3,2,0.333,3,1,8,0.375,0,0,1,1,0,16.7,0,0,0,3,0.3,3,0.333,0,0,0,0,0,0
-12,2,2,0.278,3,1.3,22,0.71,0,0,1,1,0,0,0,0,0,2,0.3,2,0.083,0,0,0,2,0,0
42,1.3,3,0.333,1,1.3,16,0.778,0,0,0,2,0,0,2.2,5,0.556,2,1.3,13,0.733,0,0,1,0,0,5
71,1.3,3,0.333,2,1.5,12,0.571,0,0,0,2,0,0,0,0,0,2,0.7,3,0.25,0,0,0,0,0,50
32,0.7,1,0.111,3,1.8,32,0.71,0,0,1,1,0,0,1.3,3,0.25,3,1.1,11,0.269,0,0,1,2,1,0
-40,0.7,3,0.333,3,0.3,2,0.333,0,0,0,0,0,0,1.3,5,0.333,2,1,10,0.528,0,0,1,2,1,0
65,2.7,5,0.556,1,1.5,10,0.55,0,0,1,1,1,0,0,0,0,2,0.7,9,0.6,0,0,3,0,0,0
-7,0,0,0,1,1.9,24,0.809,0,0,1,0,0,0,2,4,0.444,3,1,25,0.619,0,0,2,0,0,0
-12,1.3,5,0.667,3,0.7,27,0.617,0,0,2,0,0,0,2.7,7,0.667,3,1.8,30,0.667,0,0,1,1,0,0
-3,1.3,3,0.333,2,1,6,0.667,0,0,2,1,0,0,1.3,1,0.167,3,0.3,2,0.167,0,0,2,1,0,0
-22,1.8,3,0.25,3,0.9,15,0.294,0,0,1,1,0,25,0,0,0,2,2.2,18,0.739,0,0,1,1,1,0
-34,2,2,0.222,3,1,10,0.5,0,0,0,2,0,0,1.3,2,0.333,2,1.1,16,0.444,0,0,2,1,1,0
0,1.3,4,0.444,3,0.7,7,0.533,0,0,1,0,0,0,0,0,0,3,0.8,7,0.18,0,0,2,0,0,0
-74,0.7,4,0.333,2,0.3,5,0.333,0,0,2,0,0,0,0,0,0,3,0.7,16,0.528,0,0,1,1,1,0
-29,1.3,4,0.333,3,1.4,20,0.75,0,0,1,1,0,0,3.3,9,1,2,1,32,0.611,0,0,0,2,0,0
-29,0.7,2,0.222,2,1,13,0.735,0,0,1,0,0,0,0,0,0,3,0.7,5,0.333,0,0,1,0,0,0
70,0,0,0,3,1.7,12,0.536,0,0,0,2,0,36.7,0.7,3,0.333,2,0.3,13,0.333,0,0,1,1,0,0
23,1.3,3,0.25,1,0.7,8,0.205,0,0,1,1,0,0,0.7,2,0.222,3,0.7,19,0.614,0,0,3,0,0,0
-56,0,0,0,3,0,0,0,0,0,1,0,0,0,4,5,0.667,2,2.1,26,0.849,0,0,1,1,0,0
74,2.7,7,0.667,1,1.4,5,0.556,0,0,1,1,0,0,1.3,3,0.333,1,2.2,11,0.613,0,0,0,2,1,0
-8,0,0,0,2,0.3,7,0.259,0,0,1,2,0,0,1.8,3,0.25,3,1.2,18,0.597,0,0,1,1,1,0
7,4.5,3,0.75,1,0.5,2,0.2,0,0,1,0,1,0,0,0,0,1,1,21,0.494,0,0,1,1,0,0
-30,0,0,0,3,0.7,6,0.667,0,0,1,1,0,0,3,3,0.444,3,1.6,13,0.556,0,0,0,2,1,0
